key,begin,end,size,packages
10.203.246.116 58.192.119.56 443 55103 TCP,1558965251.176163,1558965251.205112,1770062,"['1558965251.176163', '1558965251.205112', '1770062', '13699', '36746', '36786', '38220', '38260', '40961', '43869', '48709', '50143', '51577', '51617', '53051', '53091', '54525', '54565', '58275', '58414', '59888', '59928', '61362', '62796', '64230', '64270', '65704', '65744', '67178', '67218', '68652', '68692', '70126', '70166', '71600']"
10.203.246.116 58.192.119.56 443 55099 TCP,1558965251.176192,1558965251.198747,347010,"['1558965251.176192', '1558965251.198747', '347010', '14837', '28541', '28581', '30015', '30055', '31855', '31895', '47155', '47235', '56841']"
10.203.246.116 58.192.119.56 443 55106 TCP,1558965251.176992,1558965251.199968,410783,"['1558965251.176992', '1558965251.199968', '410783', '14889', '15021', '15061', '15339', '15379', '16813', '18247', '18287', '27067', '27107', '30421', '33049', '47275', '58374', '58454']"
10.203.246.116 168.63.244.178 443 55105 TCP,1558965251.959814,1558965253.366913,79758,"['1558965251.959814', '1558965253.366913', '79758', '1434', '2868', '4302', '4342', '5776', '5816', '7250', '7478', '7518', '7651', '2640', '2680', '3209', '4623', '5227', '773', '1426', '1466', '1506', '1773']"
10.203.246.116 168.63.244.178 443 55104 TCP,1558965252.40458,1558965253.366389,9357,"['1558965252.40458', '1558965253.366389', '9357', '91', '131', '660', '2074', '2549', '40', '653', '693', '733', '1733']"
10.203.246.116 202.119.21.56 55084 80 TCP,1558965253.688034,1558965257.756476,3086957,"['1558965253.688034', '1558965257.756476', '3086957', '7577', '7669', '1748', '1788', '2908', '2948', '3387', '4514', '5914', '7314', '7354', '8754', '10154', '11554', '11594', '12994', '13034', '14434', '15834', '17234', '17274', '18674', '18714', '20114', '20154', '21554', '21594', '22994', '24394', '25794', '25834', '27234', '27274', '28674', '30074', '31474', '31514', '32914', '32954', '34354', '34394', '35794', '37194', '37234', '38634', '38674', '40074', '40114', '41514', '41554', '42954', '44354', '45754', '45794', '47194', '47234', '48634', '48674', '50074', '51474', '52874', '52914', '54314', '54354', '55754', '55794', '57194', '57234', '58634', '58674', '60074', '61474', '61514', '62914', '64314', '64354', '65754', '65794', '67194', '67234', '68634', '68674', '70074', '70114', '71514']"
10.203.246.116 168.63.244.178 443 55107 TCP,1558965253.699383,1558965256.087466,342075,"['1558965253.699383', '1558965256.087466', '342075', '7629', '7721', '7761', '8041', '9475', '10909', '12343', '12383', '13817', '13857', '15291', '15331', '15559', '15599', '15732', '15823', '15863', '16392', '17806', '18494', '18534', '19185', '19225', '19265', '40']"
10.203.246.116 202.119.21.56 55088 80 TCP,1558965258.408864,1558965258.436047,3755510,"['1558965258.408864', '1558965258.436047', '3755510', '1400', '1440', '2840', '4240', '4280', '5425', '5465', '6865', '6905', '8305', '9705', '9745', '11145', '11185', '12585', '12625', '14025', '14065', '15465', '15505', '16905', '16945', '18345', '18385', '19785', '19825', '21225', '21265', '22665', '22705', '24105', '24145', '25545', '25585', '26985', '27025', '28425', '28465', '29015', '30415', '30455', '31855', '31895', '33295', '33335', '34735', '34775', '36175', '36215', '37615', '37655', '39055', '39095', '39985', '40025', '41425', '41465', '42865', '42905', '44305', '44345', '45745', '45785', '47185', '47225', '48625', '48665', '50065', '50105', '51505', '51545', '52945', '52985', '54385', '54425', '55825', '55865', '57265', '57305', '58705', '58745', '60145', '60185', '61585', '61625', '63025', '63065', '63360', '64760', '66160', '67560', '67600', '69000', '70400', '70440', '71840', '71880', '73280', '74425', '75825']"
10.203.246.116 168.63.244.178 443 55083 TCP,1558965234.177543,timing...,40,"['1558965234.177543', 'timing...', '40', '40']"
10.203.246.116 111.221.29.254 443 55089 TCP,1558965237.188733,1558965239.528861,94672,"['1558965237.188733', '1558965239.528861', '94672', '1910', '1962', '2002', '2320', '4090', '5524', '6414', '6454', '6587', '6678', '8078', '8432', '8472', '8543', '8583', '8623']"
10.203.246.116 111.221.29.254 443 55090 TCP,1558965240.631918,1558965242.999466,248410,"['1558965240.631918', '1558965242.999466', '248410', '10866', '10918', '10958', '11276', '12710', '14144', '15034', '15074', '15207', '15298', '16296', '16336', '16690', '16730', '16801', '16841', '17231']"
10.203.246.116 111.221.29.254 443 55091 TCP,1558965242.89408,1558965245.215773,266503,"['1558965242.89408', '1558965245.215773', '266503', '17191', '17283', '17323', '17641', '19346', '20780', '21670', '21710', '21843', '21934', '22682', '23510', '23550', '40']"
10.203.246.116 23.57.66.75 443 55054 TCP,1558965243.443576,1558965243.574098,106872,"['1558965243.443576', '1558965243.574098', '106872', '17712', '17752', '17792', '17832', '17872', '17912']"
10.203.246.116 182.254.34.84 465 55050 TCP,1558965244.64527,1558965244.688869,91356,"['1558965244.64527', '1558965244.688869', '91356', '22724', '22764', '22804', '23064']"
10.203.246.116 182.254.34.84 465 55092 TCP,1558965244.650228,1558965244.689894,69296,"['1558965244.650228', '1558965244.689894', '69296', '23024', '23116', '23156']"
10.203.246.116 23.99.125.55 443 55062 TCP,1558965249.57473,1558965250.924063,175106,"['1558965249.57473', '1558965250.924063', '175106', '1962', '2671', '2711', '4125', '4316', '5134', '6134', '6174', '7588', '7795', '30863', '31500', '31540', '32593']"
10.203.246.116 23.99.125.55 443 55063 TCP,1558965249.581958,1558965249.582092,4044,"['1558965249.581958', '1558965249.582092', '4044', '2002', '2042']"
10.203.246.116 23.99.125.55 443 55060 TCP,1558965249.582343,1558965249.582401,4204,"['1558965249.582343', '1558965249.582401', '4204', '2082', '2122']"
10.203.246.116 23.99.125.55 443 55093 TCP,1558965249.583011,1558965250.532343,123078,"['1558965249.583011', '1558965250.532343', '123078', '2174', '4783', '4823', '5094', '15045', '16479', '17913', '17953', '19387', '19427']"
10.203.246.116 23.99.125.55 443 55094 TCP,1558965249.583203,1558965250.946142,219823,"['1558965249.583203', '1558965250.946142', '219823', '2226', '4420', '4460', '4731', '9229', '10663', '12097', '12137', '13571', '13611', '32659', '32699', '32953', '34367']"
10.203.246.116 23.99.125.55 443 55095 TCP,1558965250.018984,1558965253.162757,24049,"['1558965250.018984', '1558965253.162757', '24049', '4368', '5186', '5226', '5497', '66', '106', '254', '1653', '1693']"
10.203.246.116 23.99.125.55 443 55096 TCP,1558965250.59274,1558965252.465892,53752,"['1558965250.59274', '1558965252.465892', '53752', '19479', '7717', '7757', '8011', '5374', '5414']"
10.203.246.116 202.89.233.101 443 55097 TCP,1558965250.598584,1558965250.814629,672930,"['1558965250.598584', '1558965250.814629', '672930', '19756', '19808', '19848', '20089', '20129', '21563', '22997', '24431', '24471', '25905', '25945', '27210', '27250', '27383', '27510', '28547', '28587', '28627', '28718', '28827', '28905', '28945', '29023', '29420', '29498', '29538']"
10.203.246.116 23.57.66.75 443 55055 TCP,1558965250.908651,1558965250.909106,148445,"['1558965250.908651', '1558965250.909106', '148445', '29609', '29649', '29689', '29729', '29769']"
10.203.246.116 58.192.119.56 443 55100 TCP,1558965251.05331,1558965251.19869,538556,"['1558965251.05331', '1558965251.19869', '538556', '1434', '2868', '4302', '4342', '5776', '7210', '8333', '8373', '10261', '19721', '21155', '22589', '22629', '24063', '25497', '25537', '42395', '43829', '43909', '45343', '46092', '47195', '55703']"
10.203.246.116 58.192.119.56 443 55101 TCP,1558965251.176134,1558965251.191322,114891,"['1558965251.176134', '1558965251.191322', '114891', '11367', '34086', '34126', '35312']"
10.203.246.116 58.192.119.56 55098 80 TCP,1558965251.176144,1558965251.178339,41305,"['1558965251.176144', '1558965251.178339', '41305', '11407', '14929', '14969']"
10.203.246.116 58.192.119.56 443 55102 TCP,1558965251.176145,1558965253.681302,161449,"['1558965251.176145', '1558965253.681302', '161449', '12561', '26814', '26854', '39462', '2943', '3244', '3284', '4630', '5016', '5056', '6237', '6277', '6317', '6357', '6397']"
10.203.246.116 58.192.119.56 443 55103 TCP,1558965251.176163,1558965251.205112,1770062,"['1558965251.176163', '1558965251.205112', '1770062', '13699', '36746', '36786', '38220', '38260', '40961', '43869', '48709', '50143', '51577', '51617', '53051', '53091', '54525', '54565', '58275', '58414', '59888', '59928', '61362', '62796', '64230', '64270', '65704', '65744', '67178', '67218', '68652', '68692', '70126', '70166', '71600']"
10.203.246.116 58.192.119.56 443 55099 TCP,1558965251.176192,1558965251.198747,347010,"['1558965251.176192', '1558965251.198747', '347010', '14837', '28541', '28581', '30015', '30055', '31855', '31895', '47155', '47235', '56841']"
10.203.246.116 58.192.119.56 443 55106 TCP,1558965251.176992,1558965251.199968,410783,"['1558965251.176992', '1558965251.199968', '410783', '14889', '15021', '15061', '15339', '15379', '16813', '18247', '18287', '27067', '27107', '30421', '33049', '47275', '58374', '58454']"
10.203.246.116 168.63.244.178 443 55105 TCP,1558965251.959814,1558965253.366913,79758,"['1558965251.959814', '1558965253.366913', '79758', '1434', '2868', '4302', '4342', '5776', '5816', '7250', '7478', '7518', '7651', '2640', '2680', '3209', '4623', '5227', '773', '1426', '1466', '1506', '1773']"
10.203.246.116 168.63.244.178 443 55104 TCP,1558965252.40458,1558965253.366389,9357,"['1558965252.40458', '1558965253.366389', '9357', '91', '131', '660', '2074', '2549', '40', '653', '693', '733', '1733']"
10.203.246.116 202.119.21.56 55084 80 TCP,1558965253.688034,1558965259.341979,3331664,"['1558965253.688034', '1558965259.341979', '3331664', '7577', '7669', '1748', '1788', '2908', '2948', '3387', '4514', '5914', '7314', '7354', '8754', '10154', '11554', '11594', '12994', '13034', '14434', '15834', '17234', '17274', '18674', '18714', '20114', '20154', '21554', '21594', '22994', '24394', '25794', '25834', '27234', '27274', '28674', '30074', '31474', '31514', '32914', '32954', '34354', '34394', '35794', '37194', '37234', '38634', '38674', '40074', '40114', '41514', '41554', '42954', '44354', '45754', '45794', '47194', '47234', '48634', '48674', '50074', '51474', '52874', '52914', '54314', '54354', '55754', '55794', '57194', '57234', '58634', '58674', '60074', '61474', '61514', '62914', '64314', '64354', '65754', '65794', '67194', '67234', '68634', '68674', '70074', '70114', '71514', '1159', '1542', '2725', '3713', '3753', '4904', '5958', '5998', '7210', '10752', '17414', '18663', '19775', '19820', '19860', '23411', '25960', '26005', '26085']"
10.203.246.116 168.63.244.178 443 55107 TCP,1558965253.699383,1558965256.087466,342075,"['1558965253.699383', '1558965256.087466', '342075', '7629', '7721', '7761', '8041', '9475', '10909', '12343', '12383', '13817', '13857', '15291', '15331', '15559', '15599', '15732', '15823', '15863', '16392', '17806', '18494', '18534', '19185', '19225', '19265', '40']"
10.203.246.116 202.119.21.56 55088 80 TCP,1558965258.408864,1558965258.436047,3755510,"['1558965258.408864', '1558965258.436047', '3755510', '1400', '1440', '2840', '4240', '4280', '5425', '5465', '6865', '6905', '8305', '9705', '9745', '11145', '11185', '12585', '12625', '14025', '14065', '15465', '15505', '16905', '16945', '18345', '18385', '19785', '19825', '21225', '21265', '22665', '22705', '24105', '24145', '25545', '25585', '26985', '27025', '28425', '28465', '29015', '30415', '30455', '31855', '31895', '33295', '33335', '34735', '34775', '36175', '36215', '37615', '37655', '39055', '39095', '39985', '40025', '41425', '41465', '42865', '42905', '44305', '44345', '45745', '45785', '47185', '47225', '48625', '48665', '50065', '50105', '51505', '51545', '52945', '52985', '54385', '54425', '55825', '55865', '57265', '57305', '58705', '58745', '60145', '60185', '61585', '61625', '63025', '63065', '63360', '64760', '66160', '67560', '67600', '69000', '70400', '70440', '71840', '71880', '73280', '74425', '75825']"
10.203.246.116 202.119.21.56 55087 80 TCP,1558965259.240065,1558965259.778771,622034,"['1558965259.240065', '1558965259.778771', '622034', '8405', '17097', '28119', '29368', '30768', '32085', '32125', '32170', '32210', '33524', '33587', '33627', '33667', '33992', '34037', '34077', '35241', '35281', '36307', '36347']"
10.203.246.116 202.119.21.56 55085 80 TCP,1558965259.272558,1558965259.341945,152606,"['1558965259.272558', '1558965259.341945', '152606', '9562', '10792', '17017', '17057', '22203', '24699', '25231', '26045']"
10.203.246.116 202.119.21.56 55111 80 TCP,1558965259.27256,1558965259.342528,263265,"['1558965259.27256', '1558965259.342528', '263265', '10712', '11174', '12358', '13758', '15158', '15198', '15645', '15685', '21068', '24659', '26900', '26940', '26985', '27025']"
10.203.246.116 202.119.21.56 55112 80 TCP,1558965259.333289,1558965259.343232,160316,"['1558965259.333289', '1558965259.343232', '160316', '24619', '24739', '27677', '27717', '27762', '27802']"
10.203.246.116 168.63.244.178 443 55083 TCP,1558965234.177543,timing...,40,"['1558965234.177543', 'timing...', '40', '40']"
10.203.246.116 111.221.29.254 443 55089 TCP,1558965237.188733,1558965239.528861,94672,"['1558965237.188733', '1558965239.528861', '94672', '1910', '1962', '2002', '2320', '4090', '5524', '6414', '6454', '6587', '6678', '8078', '8432', '8472', '8543', '8583', '8623']"
10.203.246.116 111.221.29.254 443 55090 TCP,1558965240.631918,1558965242.999466,248410,"['1558965240.631918', '1558965242.999466', '248410', '10866', '10918', '10958', '11276', '12710', '14144', '15034', '15074', '15207', '15298', '16296', '16336', '16690', '16730', '16801', '16841', '17231']"
10.203.246.116 111.221.29.254 443 55091 TCP,1558965242.89408,1558965245.215773,266503,"['1558965242.89408', '1558965245.215773', '266503', '17191', '17283', '17323', '17641', '19346', '20780', '21670', '21710', '21843', '21934', '22682', '23510', '23550', '40']"
10.203.246.116 23.57.66.75 443 55054 TCP,1558965243.443576,1558965243.574098,106872,"['1558965243.443576', '1558965243.574098', '106872', '17712', '17752', '17792', '17832', '17872', '17912']"
10.203.246.116 182.254.34.84 465 55050 TCP,1558965244.64527,1558965244.688869,91356,"['1558965244.64527', '1558965244.688869', '91356', '22724', '22764', '22804', '23064']"
10.203.246.116 182.254.34.84 465 55092 TCP,1558965244.650228,1558965244.689894,69296,"['1558965244.650228', '1558965244.689894', '69296', '23024', '23116', '23156']"
10.203.246.116 23.99.125.55 443 55062 TCP,1558965249.57473,1558965250.924063,175106,"['1558965249.57473', '1558965250.924063', '175106', '1962', '2671', '2711', '4125', '4316', '5134', '6134', '6174', '7588', '7795', '30863', '31500', '31540', '32593']"
10.203.246.116 23.99.125.55 443 55063 TCP,1558965249.581958,1558965249.582092,4044,"['1558965249.581958', '1558965249.582092', '4044', '2002', '2042']"
10.203.246.116 23.99.125.55 443 55060 TCP,1558965249.582343,1558965249.582401,4204,"['1558965249.582343', '1558965249.582401', '4204', '2082', '2122']"
10.203.246.116 23.99.125.55 443 55093 TCP,1558965249.583011,1558965250.532343,123078,"['1558965249.583011', '1558965250.532343', '123078', '2174', '4783', '4823', '5094', '15045', '16479', '17913', '17953', '19387', '19427']"
10.203.246.116 23.99.125.55 443 55094 TCP,1558965249.583203,1558965250.946142,219823,"['1558965249.583203', '1558965250.946142', '219823', '2226', '4420', '4460', '4731', '9229', '10663', '12097', '12137', '13571', '13611', '32659', '32699', '32953', '34367']"
10.203.246.116 23.99.125.55 443 55095 TCP,1558965250.018984,1558965253.162757,24049,"['1558965250.018984', '1558965253.162757', '24049', '4368', '5186', '5226', '5497', '66', '106', '254', '1653', '1693']"
10.203.246.116 23.99.125.55 443 55096 TCP,1558965250.59274,1558965252.465892,53752,"['1558965250.59274', '1558965252.465892', '53752', '19479', '7717', '7757', '8011', '5374', '5414']"
10.203.246.116 202.89.233.101 443 55097 TCP,1558965250.598584,1558965250.814629,672930,"['1558965250.598584', '1558965250.814629', '672930', '19756', '19808', '19848', '20089', '20129', '21563', '22997', '24431', '24471', '25905', '25945', '27210', '27250', '27383', '27510', '28547', '28587', '28627', '28718', '28827', '28905', '28945', '29023', '29420', '29498', '29538']"
10.203.246.116 23.57.66.75 443 55055 TCP,1558965250.908651,1558965250.909106,148445,"['1558965250.908651', '1558965250.909106', '148445', '29609', '29649', '29689', '29729', '29769']"
10.203.246.116 58.192.119.56 443 55100 TCP,1558965251.05331,1558965251.19869,538556,"['1558965251.05331', '1558965251.19869', '538556', '1434', '2868', '4302', '4342', '5776', '7210', '8333', '8373', '10261', '19721', '21155', '22589', '22629', '24063', '25497', '25537', '42395', '43829', '43909', '45343', '46092', '47195', '55703']"
10.203.246.116 58.192.119.56 443 55101 TCP,1558965251.176134,1558965251.191322,114891,"['1558965251.176134', '1558965251.191322', '114891', '11367', '34086', '34126', '35312']"
10.203.246.116 58.192.119.56 55098 80 TCP,1558965251.176144,1558965251.178339,41305,"['1558965251.176144', '1558965251.178339', '41305', '11407', '14929', '14969']"
